Driver_no,Event_name
1,"Abu Dhabi Grand Prix"
2,"Abu Dhabi Grand Prix"
3,"Abu Dhabi Grand Prix"
8,"Abu Dhabi Grand Prix"
11,"Abu Dhabi Grand Prix"
13,"Abu Dhabi Grand Prix"
1,"Bahrain Grand Prix"
2,"Bahrain Grand Prix"
3,"Bahrain Grand Prix"
7,"Bahrain Grand Prix"
11,"Bahrain Grand Prix"
13,"Bahrain Grand Prix"
1,"Belgian Grand Prix"
2,"Belgian Grand Prix"
3,"Belgian Grand Prix"
4,"Belgian Grand Prix"
9,"Belgian Grand Prix"
12,"Belgian Grand Prix"
1,"British Grand Prix"
2,"British Grand Prix"
3,"British Grand Prix"
6,"British Grand Prix"
10,"British Grand Prix"
12,"British Grand Prix"
1,"Canadian Grand Prix"
2,"Canadian Grand Prix"
3,"Canadian Grand Prix"
8,"Canadian Grand Prix"
12,"Canadian Grand Prix"
13,"Canadian Grand Prix"
1,"Hungarian Grand Prix"
2,"Hungarian Grand Prix"
3,"Hungarian Grand Prix"
6,"Hungarian Grand Prix"
10,"Hungarian Grand Prix"
13,"Hungarian Grand Prix"
1,"Italian Grand Prix"
2,"Italian Grand Prix"
3,"Italian Grand Prix"
4,"Italian Grand Prix"
9,"Italian Grand Prix"
12,"Italian Grand Prix"
1,"Japanese Grand Prix"
2,"Japanese Grand Prix"
3,"Japanese Grand Prix"
5,"Japanese Grand Prix"
9,"Japanese Grand Prix"
12,"Japanese Grand Prix"
1,"Russian Grand Prix"
2,"Russian Grand Prix"
3,"Russian Grand Prix"
7,"Russian Grand Prix"
10,"Russian Grand Prix"
13,"Russian Grand Prix"
1,"United States Grand Prix"
2,"United States Grand Prix"
3,"United States Grand Prix"
5,"United States Grand Prix"
10,"United States Grand Prix"
12,"United States Grand Prix"
